,disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,fyDeclared,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode
0,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Richland Parish,99083.0
1,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Calcasieu Parish,99019.0
2,1668,1,1,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Allen Parish,99003.0
3,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Franklin Parish,99041.0
4,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Morehouse Parish,99067.0
5,1668,0,0,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Catahoula Parish,99025.0
6,1668,1,1,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,St. Landry Parish,99097.0
7,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Beauregard Parish,99011.0
8,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Natchitoches Parish,99069.0
9,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Grant Parish,99043.0
10,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Caldwell Parish,99021.0
11,1668,0,0,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Ouachita Parish,99073.0
12,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Madison Parish,99065.0
13,1668,0,0,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Tensas Parish,99107.0
14,1668,0,0,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Jefferson Parish,99051.0
15,1668,0,0,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Acadia Parish,99001.0
16,1668,0,0,0,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Rapides Parish,99079.0
17,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,La Salle Parish,99059.0
18,1667,0,0,1,1,MO,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS,2006-07-19,2006-07-21T00:00:00.000Z,2012-07-11T00:00:00.000Z,St. Louis,65000.0
19,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Sabine Parish,99085.0
20,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Jefferson Davis Parish,99053.0
21,1668,1,1,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Vernon Parish,99115.0
22,1668,0,0,1,1,LA,2006-11-02,2007,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2006-10-16,2006-11-08T17:11:00.000Z,2015-05-21T00:00:00.000Z,Evangeline Parish,99039.0
